Node1,Node2
JH_Jamtara,WB_Birbhum
JH_Jamtara,WB_Paschim Bardhaman
JH_Khunti,JH_Ranchi
JH_Khunti,JH_Simdega
JH_Khunti,JH_West Singhbhum
JH_Latehar,JH_Lohardaga
JH_Latehar,JH_Palamu
JH_Latehar,JH_Ranchi
JH_Lohardaga,JH_Ranchi
JH_Pakur,JH_Sahibganj
JH_Pakur,WB_Birbhum
JH_Pakur,WB_Murshidabad
JH_Ramgarh,JH_Ranchi
JH_Ramgarh,WB_Purulia
JH_Ranchi,WB_Purulia
JH_Sahibganj,WB_Malda
JH_Sahibganj,WB_Murshidabad
JH_Simdega,JH_West Singhbhum
JH_Simdega,OR_Sundargarh
JH_West Singhbhum,OR_Kendujhar
JH_West Singhbhum,OR_Mayurbhanj
JH_West Singhbhum,OR_Sundargarh
JK_Anantnag,JK_Doda
JK_Anantnag,JK_Ganderbal
JK_Anantnag,JK_Kishtwar
JK_Anantnag,JK_Kulgam
JK_Anantnag,JK_Pulwama
JK_Anantnag,JK_Ramban
JK_Anantnag,JK_Shopiyan
JK_Anantnag,JK_Srinagar
JK_Anantnag,LA_Kargil
JK_Bandipora,JK_Baramulla
JK_Bandipora,JK_Ganderbal
JK_Bandipora,JK_Kupwara
JK_Bandipora,JK_Srinagar
JK_Bandipora,LA_Kargil
JK_Baramulla,JK_Budgam
JK_Baramulla,JK_Kupwara
JK_Baramulla,JK_Punch
JK_Baramulla,JK_Srinagar
JK_Budgam,JK_Kulgam
JK_Budgam,JK_Pulwama
JK_Budgam,JK_Punch
JK_Budgam,JK_Shopiyan
JK_Budgam,JK_Srinagar
JK_Doda,JK_Kathua
JK_Doda,JK_Kishtwar
JK_Doda,JK_Ramban
JK_Doda,JK_Udhampur
JK_Ganderbal,JK_Srinagar
JK_Ganderbal,LA_Kargil
JK_Jammu,JK_Rajouri
JK_Jammu,JK_Reasi
JK_Jammu,JK_Samba
JK_Jammu,JK_Udhampur
JK_Kathua,JK_Samba
JK_Kathua,JK_Udhampur
JK_Kathua,PB_Pathankot
JK_Kishtwar,LA_Kargil
JK_Kulgam,JK_Punch
JK_Kulgam,JK_Rajouri
JK_Kulgam,JK_Ramban
JK_Kulgam,JK_Reasi
JK_Kulgam,JK_Shopiyan
JK_Pulwama,JK_Shopiyan
JK_Pulwama,JK_Srinagar
JK_Punch,JK_Rajouri
JK_Punch,JK_Reasi
JK_Rajouri,JK_Reasi
JK_Ramban,JK_Reasi
JK_Ramban,JK_Udhampur
JK_Reasi,JK_Udhampur
JK_Samba,JK_Udhampur
KA_Bagalkote,KA_Belagavi
KA_Bagalkote,KA_Gadag
KA_Bagalkote,KA_Koppal
KA_Bagalkote,KA_Raichur
KA_Bagalkote,KA_Vijayapura
KA_Ballari,KA_Chitradurga
KA_Ballari,KA_Davanagere
KA_Ballari,KA_Gadag
KA_Ballari,KA_Haveri
KA_Ballari,KA_Koppal
KA_Ballari,KA_Raichur
KA_Belagavi,KA_Dharwad
KA_Belagavi,KA_Gadag
KA_Belagavi,KA_Uttara Kannada
KA_Belagavi,KA_Vijayapura
KA_Belagavi,MH_Kolhapur
KA_Belagavi,MH_Sangli
KA_Belagavi,MH_Sindhudurg
KA_Bengaluru Rural,KA_Bengaluru Urban
KA_Bengaluru Rural,KA_Chikkaballapura
KA_Bengaluru Rural,KA_Kolar
KA_Bengaluru Rural,KA_Ramanagara
KA_Bengaluru Rural,KA_Tumakuru
KA_Bengaluru Rural,TN_Krishnagiri
KA_Bengaluru Urban,KA_Ramanagara
KA_Bengaluru Urban,TN_Krishnagiri
KA_Bidar,KA_Kalaburagi
KA_Bidar,MH_Latur
KA_Bidar,MH_Nanded
KA_Bidar,MH_Osmanabad
KA_Bidar,TG_Kamareddy
KA_Bidar,TG_Sangareddy
KA_Chamarajanagara,KA_Mandya
KA_Chamarajanagara,KA_Mysuru
KA_Chamarajanagara,KA_Ramanagara
KA_Chamarajanagara,KL_Wayanad
KA_Chamarajanagara,TN_Dharmapuri
KA_Chamarajanagara,TN_Erode
KA_Chamarajanagara,TN_Krishnagiri
KA_Chamarajanagara,TN_Nilgiris
KA_Chamarajanagara,TN_Salem
KA_Chikkaballapura,KA_Kolar
KA_Chikkaballapura,KA_Tumakuru
KA_Chikkamagaluru,KA_Chitradurga
KA_Chikkamagaluru,KA_Dakshina Kannada
KA_Chikkamagaluru,KA_Davanagere
KA_Chikkamagaluru,KA_Hassan
KA_Chikkamagaluru,KA_Shivamogga
KA_Chikkamagaluru,KA_Tumakuru
KA_Chikkamagaluru,KA_Udupi
KA_Chitradurga,KA_Davanagere
KA_Chitradurga,KA_Tumakuru
KA_Dakshina Kannada,KA_Hassan
KA_Dakshina Kannada,KA_Kodagu
KA_Dakshina Kannada,KA_Udupi
KA_Dakshina Kannada,KL_Kasaragod
KA_Davanagere,KA_Haveri
KA_Davanagere,KA_Shivamogga
KA_Dharwad,KA_Gadag
KA_Dharwad,KA_Haveri
KA_Dharwad,KA_Uttara Kannada
KA_Gadag,KA_Haveri
KA_Gadag,KA_Koppal
KA_Hassan,KA_Kodagu
KA_Hassan,KA_Mandya
KA_Hassan,KA_Mysuru
KA_Hassan,KA_Tumakuru
KA_Haveri,KA_Shivamogga
KA_Haveri,KA_Uttara Kannada
KA_Kalaburagi,KA_Vijayapura
KA_Kalaburagi,KA_Yadgir
KA_Kalaburagi,MH_Osmanabad
KA_Kalaburagi,MH_Solapur
KA_Kalaburagi,TG_Narayanpet
KA_Kalaburagi,TG_Sangareddy
KA_Kalaburagi,TG_Vikarabad
KA_Kodagu,KA_Mysuru
KA_Kodagu,KL_Kannur
KA_Kodagu,KL_Kasaragod
KA_Kodagu,KL_Wayanad
KA_Kolar,TN_Krishnagiri
KA_Koppal,KA_Raichur
KA_Mandya,KA_Mysuru
KA_Mandya,KA_Ramanagara
KA_Mandya,KA_Tumakuru
KA_Mysuru,KL_Wayanad
KA_Raichur,KA_Vijayapura
KA_Raichur,KA_Yadgir
KA_Raichur,TG_Jogulamba Gadwal
KA_Raichur,TG_Narayanpet
KA_Ramanagara,KA_Tumakuru
KA_Ramanagara,TN_Krishnagiri
KA_Shivamogga,KA_Udupi
KA_Shivamogga,KA_Uttara Kannada
KA_Udupi,KA_Uttara Kannada
KA_Vijayapura,KA_Yadgir
KA_Vijayapura,MH_Sangli
KA_Vijayapura,MH_Solapur
KA_Yadgir,TG_Narayanpet
KL_Alappuzha,KL_Ernakulam
KL_Alappuzha,KL_Kollam
KL_Alappuzha,KL_Kottayam
KL_Ernakulam,KL_Idukki
KL_Ernakulam,KL_Kottayam
KL_Ernakulam,KL_Thrissur
KL_Ernakulam,TN_Coimbatore
KL_Idukki,KL_Kottayam
KL_Idukki,TN_Coimbatore
KL_Idukki,TN_Dindigul
KL_Idukki,TN_Theni
KL_Idukki,TN_Tirunelveli
KL_Idukki,TN_Tiruppur
KL_Idukki,TN_Virudhunagar
KL_Kannur,KL_Kasaragod
KL_Kannur,KL_Kozhikode
KL_Kannur,KL_Wayanad
KL_Kannur,PY_Mahe
KL_Kollam,KL_Thiruvananthapuram
KL_Kollam,TN_Tirunelveli
KL_Kozhikode,KL_Malappuram
KL_Kozhikode,KL_Wayanad
KL_Kozhikode,PY_Mahe
KL_Malappuram,KL_Palakkad
KL_Malappuram,KL_Thrissur
KL_Malappuram,KL_Wayanad
KL_Malappuram,TN_Nilgiris
KL_Palakkad,KL_Thrissur
KL_Palakkad,TN_Coimbatore
KL_Palakkad,TN_Nilgiris
KL_Thiruvananthapuram,TN_Kanyakumari
KL_Thiruvananthapuram,TN_Tirunelveli
KL_Thrissur,TN_Coimbatore
KL_Wayanad,TN_Nilgiris
LA_Kargil,LA_Leh
MH_Ahmednagar,MH_Aurangabad
MH_Ahmednagar,MH_Beed
MH_Ahmednagar,MH_Nashik
MH_Ahmednagar,MH_Osmanabad
MH_Ahmednagar,MH_Pune
MH_Ahmednagar,MH_Solapur
MH_Ahmednagar,MH_Thane
MH_Akola,MH_Amravati
MH_Akola,MH_Buldhana
MH_Akola,MH_Washim
MH_Amravati,MH_Buldhana
MH_Amravati,MH_Nagpur
MH_Amravati,MH_Wardha
MH_Amravati,MH_Washim
MH_Amravati,MH_Yavatmal
MH_Amravati,MP_Betul
MH_Amravati,MP_Burhanpur
MH_Amravati,MP_Chhindwara
MH_Amravati,MP_Khandwa
MH_Aurangabad,MH_Beed
MH_Aurangabad,MH_Jalgaon
MH_Aurangabad,MH_Jalna
MH_Aurangabad,MH_Nashik
MH_Beed,MH_Jalna
MH_Beed,MH_Latur
MH_Beed,MH_Osmanabad
MH_Bhandara,MH_Chandrapur
MH_Bhandara,MH_Gadchiroli
MH_Bhandara,MH_Gondia
MH_Bhandara,MH_Nagpur
MH_Bhandara,MP_Balaghat
MH_Buldhana,MH_Jalgaon
MH_Buldhana,MH_Jalna
MH_Buldhana,MH_Washim
MH_Buldhana,MP_Burhanpur
MH_Chandrapur,MH_Gadchiroli
MH_Chandrapur,MH_Nagpur
MH_Chandrapur,MH_Wardha
MH_Chandrapur,MH_Yavatmal
MH_Chandrapur,TG_Adilabad
MH_Chandrapur,TG_Komaram Bheem
MH_Dhule,MH_Jalgaon
MH_Dhule,MH_Nandurbar
MH_Dhule,MH_Nashik
MH_Dhule,MP_Barwani
MH_Gadchiroli,MH_Gondia
MH_Gadchiroli,TG_Jayashankar Bhupalapally
MH_Gadchiroli,TG_Komaram Bheem
MH_Gadchiroli,TG_Mancherial
MH_Gondia,MP_Balaghat
MH_Hingoli,MH_Nanded
MH_Hingoli,MH_Washim
MH_Hingoli,MH_Yavatmal
MH_Jalgaon,MH_Jalna
MH_Jalgaon,MH_Nashik
MH_Jalgaon,MP_Barwani
MH_Jalgaon,MP_Burhanpur
MH_Jalgaon,MP_Khargone
MH_Kolhapur,MH_Ratnagiri
MH_Kolhapur,MH_Sangli
MH_Kolhapur,MH_Sindhudurg
MH_Latur,MH_Nanded
MH_Latur,MH_Osmanabad
MH_Nagpur,MH_Wardha
MH_Nagpur,MP_Balaghat
MH_Nagpur,MP_Chhindwara
MH_Nagpur,MP_Seoni
MH_Nanded,MH_Yavatmal
MH_Nanded,TG_Adilabad
MH_Nanded,TG_Kamareddy
MH_Nanded,TG_Nirmal
MH_Nanded,TG_Nizamabad
MH_Nandurbar,MP_Alirajpur
MH_Nandurbar,MP_Barwani
MH_Nashik,MH_Palghar
MH_Nashik,MH_Thane
MH_Osmanabad,MH_Solapur
MH_Palghar,MH_Thane
MH_Pune,MH_Raigad
MH_Pune,MH_Satara
MH_Pune,MH_Solapur
MH_Pune,MH_Thane
MH_Raigad,MH_Ratnagiri
MH_Raigad,MH_Satara
MH_Raigad,MH_Thane
MH_Ratnagiri,MH_Sangli
MH_Ratnagiri,MH_Satara
MH_Ratnagiri,MH_Sindhudurg
MH_Sangli,MH_Satara
MH_Sangli,MH_Solapur
MH_Satara,MH_Solapur
MH_Wardha,MH_Yavatmal
MH_Washim,MH_Yavatmal
MH_Yavatmal,TG_Adilabad
ML_East Garo Hills,ML_North Garo Hills
ML_East Garo Hills,ML_South Garo Hills
ML_East Garo Hills,ML_West Garo Hills
ML_East Garo Hills,ML_West Khasi Hills
ML_East Jaintia Hills,ML_West Jaintia Hills
ML_East Khasi Hills,ML_Ribhoi
ML_East Khasi Hills,ML_South West Khasi Hills
ML_East Khasi Hills,ML_West Jaintia Hills
ML_East Khasi Hills,ML_West Khasi Hills
ML_North Garo Hills,ML_West Garo Hills
ML_North Garo Hills,ML_West Khasi Hills
ML_Ribhoi,ML_West Jaintia Hills
ML_Ribhoi,ML_West Khasi Hills
ML_South Garo Hills,ML_South West Khasi Hills
ML_South Garo Hills,ML_West Garo Hills
ML_South Garo Hills,ML_West Khasi Hills
ML_South West Garo Hills,ML_West Garo Hills
ML_South West Khasi Hills,ML_West Khasi Hills
MN_Bishnupur,MN_Churachandpur
MN_Bishnupur,MN_Imphal West
MN_Bishnupur,MN_Kakching
MN_Bishnupur,MN_Kangpokpi
MN_Bishnupur,MN_Noney
MN_Chandel,MN_Churachandpur
MN_Chandel,MN_Kakching
MN_Chandel,MN_Tengnoupal
MN_Churachandpur,MN_Kakching
MN_Churachandpur,MN_Noney
MN_Churachandpur,MN_Pherzawl
MN_Imphal East,MN_Imphal West
MN_Imphal East,MN_Kangpokpi
MN_Imphal East,MN_Thoubal
MN_Imphal West,MN_Kakching
MN_Imphal West,MN_Kangpokpi
MN_Imphal West,MN_Thoubal
MN_Jiribam,MN_Noney
MN_Jiribam,MN_Pherzawl
MN_Jiribam,MN_Tamenglong
MN_Kakching,MN_Tengnoupal
MN_Kakching,MN_Thoubal
MN_Kamjong,MN_Kangpokpi
MN_Kamjong,MN_Tengnoupal
MN_Kamjong,MN_Ukhrul
MN_Kangpokpi,MN_Noney
MN_Kangpokpi,MN_Senapati
MN_Kangpokpi,MN_Tamenglong
MN_Kangpokpi,MN_Tengnoupal
MN_Kangpokpi,MN_Thoubal
MN_Kangpokpi,MN_Ukhrul
MN_Noney,MN_Pherzawl
MN_Noney,MN_Tamenglong
MN_Pherzawl,MZ_Aizawl
MN_Pherzawl,MZ_Champhai
MN_Senapati,MN_Tamenglong
MN_Senapati,MN_Ukhrul
MN_Senapati,NL_Kohima
MN_Senapati,NL_Peren
MN_Senapati,NL_Phek
MN_Tamenglong,NL_Peren
MN_Tengnoupal,MN_Thoubal
MN_Ukhrul,NL_Phek
MP_Agar Malwa,MP_Rajgarh
MP_Agar Malwa,MP_Ratlam
MP_Agar Malwa,MP_Shajapur
MP_Agar Malwa,MP_Ujjain
MP_Agar Malwa,RJ_Jhalawar
MP_Alirajpur,MP_Barwani
MP_Alirajpur,MP_Dhar
MP_Alirajpur,MP_Jhabua
MP_Anuppur,MP_Dindori
MP_Anuppur,MP_Shahdol
MP_Anuppur,MP_Umaria
MP_Ashoknagar,MP_Guna
MP_Ashoknagar,MP_Sagar
MP_Ashoknagar,MP_Shivpuri
MP_Ashoknagar,MP_Vidisha
MP_Ashoknagar,UP_Lalitpur
MP_Balaghat,MP_Mandla
MP_Balaghat,MP_Seoni
MP_Barwani,MP_Dhar
MP_Barwani,MP_Khargone
MP_Betul,MP_Chhindwara
MP_Betul,MP_Harda
MP_Betul,MP_Hoshangabad
MP_Betul,MP_Khandwa
MP_Bhind,MP_Datia
MP_Bhind,MP_Gwalior
MP_Bhind,MP_Morena
MP_Bhind,UP_Agra
MP_Bhind,UP_Etawah
MP_Bhind,UP_Jalaun
MP_Bhind,UP_Jhansi
MP_Bhopal,MP_Guna
MP_Bhopal,MP_Raisen
MP_Bhopal,MP_Rajgarh
MP_Bhopal,MP_Sehore
MP_Bhopal,MP_Vidisha
MP_Burhanpur,MP_Khandwa
MP_Burhanpur,MP_Khargone
MP_Chhatarpur,MP_Damoh
MP_Chhatarpur,MP_Panna
MP_Chhatarpur,MP_Sagar
MP_Chhatarpur,MP_Tikamgarh
MP_Chhatarpur,UP_Banda
MP_Chhatarpur,UP_Jhansi
MP_Chhatarpur,UP_Lalitpur
MP_Chhatarpur,UP_Mahoba
MP_Chhindwara,MP_Hoshangabad
MP_Chhindwara,MP_Narsinghpur
MP_Chhindwara,MP_Seoni
MP_Damoh,MP_Jabalpur
MP_Damoh,MP_Katni
MP_Damoh,MP_Narsinghpur
MP_Damoh,MP_Panna
MP_Damoh,MP_Sagar
MP_Datia,MP_Gwalior
MP_Datia,MP_Shivpuri
MP_Datia,UP_Jhansi
MP_Datia,UP_Lalitpur
MP_Dewas,MP_Harda
MP_Dewas,MP_Indore
MP_Dewas,MP_Khandwa
MP_Dewas,MP_Khargone
MP_Dewas,MP_Sehore
MP_Dewas,MP_Shajapur
MP_Dewas,MP_Ujjain
MP_Dhar,MP_Indore
MP_Dhar,MP_Jhabua
MP_Dhar,MP_Khargone
MP_Dhar,MP_Ratlam
MP_Dhar,MP_Ujjain
MP_Dindori,MP_Jabalpur
MP_Dindori,MP_Mandla
MP_Dindori,MP_Umaria
MP_Guna,MP_Rajgarh
MP_Guna,MP_Shivpuri
MP_Guna,MP_Vidisha
MP_Guna,RJ_Baran
MP_Guna,RJ_Jhalawar
MP_Gwalior,MP_Morena
MP_Gwalior,MP_Shivpuri
MP_Harda,MP_Hoshangabad
MP_Harda,MP_Khandwa
MP_Harda,MP_Sehore
MP_Hoshangabad,MP_Narsinghpur
MP_Hoshangabad,MP_Raisen
MP_Hoshangabad,MP_Sehore
MP_Indore,MP_Khargone
MP_Indore,MP_Ujjain
MP_Jabalpur,MP_Katni
MP_Jabalpur,MP_Mandla
MP_Jabalpur,MP_Narsinghpur
MP_Jabalpur,MP_Seoni
MP_Jabalpur,MP_Umaria
MP_Jhabua,MP_Ratlam
MP_Jhabua,RJ_Banswara
MP_Katni,MP_Panna
MP_Katni,MP_Satna
MP_Katni,MP_Umaria
MP_Khandwa,MP_Khargone
MP_Mandla,MP_Seoni
MP_Mandsaur,MP_Neemuch
MP_Mandsaur,MP_Ratlam
MP_Mandsaur,RJ_Chittorgarh
MP_Mandsaur,RJ_Jhalawar
MP_Mandsaur,RJ_Kota
MP_Mandsaur,RJ_Pratapgarh
MP_Morena,MP_Sheopur
MP_Morena,MP_Shivpuri
MP_Morena,RJ_Dholpur
MP_Morena,RJ_Karauli
MP_Morena,UP_Agra
MP_Narsinghpur,MP_Raisen
MP_Narsinghpur,MP_Sagar
MP_Narsinghpur,MP_Seoni
MP_Neemuch,RJ_Bhilwara
MP_Neemuch,RJ_Chittorgarh
MP_Neemuch,RJ_Pratapgarh
MP_Panna,MP_Satna
MP_Panna,UP_Banda
MP_Raisen,MP_Sagar
MP_Raisen,MP_Sehore
MP_Raisen,MP_Vidisha
MP_Rajgarh,MP_Sehore
MP_Rajgarh,MP_Shajapur
MP_Rajgarh,RJ_Jhalawar
MP_Ratlam,MP_Ujjain
MP_Ratlam,RJ_Banswara
MP_Ratlam,RJ_Jhalawar
MP_Ratlam,RJ_Pratapgarh
MP_Rewa,MP_Satna
MP_Rewa,MP_Sidhi
MP_Rewa,MP_Singrauli
MP_Rewa,UP_Chitrakoot
MP_Rewa,UP_Mirzapur
MP_Rewa,UP_Prayagraj
MP_Sagar,MP_Vidisha
MP_Sagar,UP_Lalitpur
MP_Satna,MP_Shahdol
MP_Satna,MP_Sidhi
MP_Satna,MP_Umaria
MP_Satna,UP_Banda
MP_Satna,UP_Chitrakoot
MP_Sehore,MP_Shajapur
MP_Shahdol,MP_Sidhi
MP_Shahdol,MP_Umaria
MP_Shajapur,MP_Ujjain
MP_Sheopur,MP_Shivpuri
MP_Sheopur,RJ_Baran
MP_Sheopur,RJ_Karauli
MP_Sheopur,RJ_Kota
MP_Sheopur,RJ_Sawai Madhopur
MP_Shivpuri,RJ_Baran
MP_Shivpuri,UP_Jhansi
MP_Shivpuri,UP_Lalitpur
MP_Sidhi,MP_Singrauli
MP_Singrauli,UP_Mirzapur
MP_Singrauli,UP_Sonbhadra
MP_Tikamgarh,UP_Jhansi
MP_Tikamgarh,UP_Lalitpur
MZ_Aizawl,MZ_Champhai
MZ_Aizawl,MZ_Kolasib
MZ_Aizawl,MZ_Lunglei
MZ_Aizawl,MZ_Mamit
MZ_Aizawl,MZ_Serchhip
MZ_Champhai,MZ_Serchhip
MZ_Kolasib,MZ_Mamit
MZ_Lawngtlai,MZ_Lunglei
MZ_Lawngtlai,MZ_Saiha
MZ_Lunglei,MZ_Mamit
MZ_Lunglei,MZ_Serchhip
MZ_Mamit,TR_North Tripura
NL_Dimapur,NL_Kohima
NL_Dimapur,NL_Peren
NL_Kiphire,NL_Phek
NL_Kiphire,NL_Tuensang
NL_Kiphire,NL_Zunheboto
NL_Kohima,NL_Peren
NL_Kohima,NL_Phek
NL_Kohima,NL_Wokha
NL_Kohima,NL_Zunheboto
NL_Longleng,NL_Mokokchung
NL_Longleng,NL_Mon
NL_Longleng,NL_Tuensang
NL_Mokokchung,NL_Tuensang
NL_Mokokchung,NL_Wokha
NL_Mokokchung,NL_Zunheboto
NL_Mon,NL_Tuensang
NL_Phek,NL_Zunheboto
NL_Tuensang,NL_Zunheboto
NL_Wokha,NL_Zunheboto
OR_Angul,OR_Boudh
OR_Angul,OR_Cuttack
OR_Angul,OR_Deogarh
OR_Angul,OR_Dhenkanal
OR_Angul,OR_Kendujhar
OR_Angul,OR_Nayagarh
OR_Angul,OR_Sambalpur
OR_Angul,OR_Subarnapur
OR_Angul,OR_Sundargarh
OR_Balangir,OR_Bargarh
OR_Balangir,OR_Boudh
OR_Balangir,OR_Kalahandi
OR_Balangir,OR_Kandhamal
OR_Balangir,OR_Nuapada
OR_Balangir,OR_Subarnapur
OR_Balasore,OR_Bhadrak
OR_Balasore,OR_Kendujhar
OR_Balasore,OR_Mayurbhanj
OR_Balasore,WB_Jhargram
OR_Balasore,WB_Paschim Medinipur
OR_Balasore,WB_Purba Medinipur
OR_Bargarh,OR_Jharsuguda
OR_Bargarh,OR_Nuapada
OR_Bargarh,OR_Sambalpur
OR_Bargarh,OR_Subarnapur
OR_Bhadrak,OR_Jajpur
OR_Bhadrak,OR_Kendrapara
OR_Bhadrak,OR_Kendujhar
OR_Boudh,OR_Kandhamal
OR_Boudh,OR_Nayagarh
OR_Boudh,OR_Subarnapur
OR_Cuttack,OR_Dhenkanal
OR_Cuttack,OR_Jagatsinghpur
OR_Cuttack,OR_Jajpur
OR_Cuttack,OR_Kendrapara
OR_Cuttack,OR_Khordha
OR_Cuttack,OR_Nayagarh
OR_Cuttack,OR_Puri
OR_Deogarh,OR_Sambalpur
OR_Deogarh,OR_Sundargarh
OR_Dhenkanal,OR_Jajpur
OR_Dhenkanal,OR_Kendujhar
OR_Gajapati,OR_Ganjam
OR_Gajapati,OR_Kandhamal
OR_Gajapati,OR_Rayagada
OR_Ganjam,OR_Kandhamal
OR_Ganjam,OR_Khordha
OR_Ganjam,OR_Nayagarh
OR_Ganjam,OR_Puri
OR_Jagatsinghpur,OR_Kendrapara
OR_Jagatsinghpur,OR_Puri
OR_Jajpur,OR_Kendrapara
OR_Jajpur,OR_Kendujhar
OR_Jharsuguda,OR_Sambalpur
OR_Jharsuguda,OR_Sundargarh
OR_Kalahandi,OR_Kandhamal
OR_Kalahandi,OR_Koraput
OR_Kalahandi,OR_Nabarangapur
OR_Kalahandi,OR_Nuapada
OR_Kalahandi,OR_Rayagada
OR_Kandhamal,OR_Nayagarh
OR_Kandhamal,OR_Rayagada
OR_Kendujhar,OR_Mayurbhanj
OR_Kendujhar,OR_Sundargarh
OR_Khordha,OR_Nayagarh
OR_Khordha,OR_Puri
OR_Koraput,OR_Malkangiri
OR_Koraput,OR_Nabarangapur
OR_Koraput,OR_Rayagada
OR_Mayurbhanj,WB_Jhargram
OR_Sambalpur,OR_Subarnapur
OR_Sambalpur,OR_Sundargarh
PB_Amritsar,PB_Gurdaspur
PB_Amritsar,PB_Kapurthala
PB_Amritsar,PB_Tarn Taran
PB_Barnala,PB_Bathinda
PB_Barnala,PB_Ludhiana
PB_Barnala,PB_Mansa
PB_Barnala,PB_Moga
PB_Barnala,PB_Sangrur
PB_Bathinda,PB_Faridkot
PB_Bathinda,PB_Mansa
PB_Bathinda,PB_Moga
PB_Bathinda,PB_Sri Muktsar Sahib
PB_Faridkot,PB_Ferozepur
PB_Faridkot,PB_Moga
PB_Faridkot,PB_Sri Muktsar Sahib
PB_Fatehgarh Sahib,PB_Ludhiana
PB_Fatehgarh Sahib,PB_Patiala
PB_Fatehgarh Sahib,PB_Rupnagar
PB_Fatehgarh Sahib,PB_S.A.S. Nagar
PB_Fatehgarh Sahib,PB_Sangrur
PB_Fazilka,PB_Ferozepur
PB_Fazilka,PB_Sri Muktsar Sahib
PB_Fazilka,RJ_Ganganagar
PB_Fazilka,RJ_Hanumangarh
PB_Ferozepur,PB_Jalandhar
PB_Ferozepur,PB_Kapurthala
PB_Ferozepur,PB_Moga
PB_Ferozepur,PB_Sri Muktsar Sahib
PB_Ferozepur,PB_Tarn Taran
PB_Gurdaspur,PB_Hoshiarpur
PB_Gurdaspur,PB_Kapurthala
PB_Gurdaspur,PB_Pathankot
PB_Hoshiarpur,PB_Jalandhar
PB_Hoshiarpur,PB_Kapurthala
PB_Hoshiarpur,PB_Rupnagar
PB_Hoshiarpur,PB_Shahid Bhagat Singh Nagar
PB_Jalandhar,PB_Kapurthala
PB_Jalandhar,PB_Ludhiana
PB_Jalandhar,PB_Moga
PB_Jalandhar,PB_Shahid Bhagat Singh Nagar
PB_Kapurthala,PB_Shahid Bhagat Singh Nagar
PB_Kapurthala,PB_Tarn Taran
PB_Ludhiana,PB_Moga
PB_Ludhiana,PB_Rupnagar
PB_Ludhiana,PB_Sangrur
PB_Ludhiana,PB_Shahid Bhagat Singh Nagar
PB_Mansa,PB_Sangrur
PB_Patiala,PB_S.A.S. Nagar
PB_Patiala,PB_Sangrur
PB_Rupnagar,PB_S.A.S. Nagar
PB_Rupnagar,PB_Shahid Bhagat Singh Nagar
PB_Sri Muktsar Sahib,RJ_Hanumangarh
PY_Karaikal,TN_Nagapattinam
PY_Karaikal,TN_Thiruvarur
PY_Puducherry,TN_Cuddalore
PY_Puducherry,TN_Viluppuram
RJ_Ajmer,RJ_Bhilwara
RJ_Ajmer,RJ_Jaipur
RJ_Ajmer,RJ_Nagaur
RJ_Ajmer,RJ_Pali
RJ_Ajmer,RJ_Rajsamand
RJ_Ajmer,RJ_Tonk
RJ_Alwar,RJ_Bharatpur
RJ_Alwar,RJ_Dausa
RJ_Alwar,RJ_Jaipur
RJ_Banswara,RJ_Dungarpur
RJ_Banswara,RJ_Pratapgarh
RJ_Baran,RJ_Jhalawar
RJ_Baran,RJ_Kota
RJ_Barmer,RJ_Jaisalmer
RJ_Barmer,RJ_Jalore
RJ_Barmer,RJ_Jodhpur
RJ_Barmer,RJ_Pali
RJ_Bharatpur,RJ_Dausa
RJ_Bharatpur,RJ_Dholpur
RJ_Bharatpur,RJ_Karauli
RJ_Bharatpur,UP_Agra
RJ_Bharatpur,UP_Mathura
RJ_Bhilwara,RJ_Bundi
RJ_Bhilwara,RJ_Chittorgarh
RJ_Bhilwara,RJ_Rajsamand
RJ_Bhilwara,RJ_Tonk
RJ_Bikaner,RJ_Churu
RJ_Bikaner,RJ_Ganganagar
RJ_Bikaner,RJ_Hanumangarh
RJ_Bikaner,RJ_Jaisalmer
RJ_Bikaner,RJ_Jodhpur
RJ_Bikaner,RJ_Nagaur
RJ_Bundi,RJ_Chittorgarh
RJ_Bundi,RJ_Kota
RJ_Bundi,RJ_Sawai Madhopur
RJ_Bundi,RJ_Tonk
RJ_Chittorgarh,RJ_Kota
RJ_Chittorgarh,RJ_Pratapgarh
RJ_Chittorgarh,RJ_Rajsamand
RJ_Chittorgarh,RJ_Udaipur
RJ_Churu,RJ_Hanumangarh
RJ_Churu,RJ_Jhunjhunu
RJ_Churu,RJ_Nagaur
RJ_Churu,RJ_Sikar
RJ_Dausa,RJ_Jaipur
RJ_Dausa,RJ_Karauli
RJ_Dausa,RJ_Sawai Madhopur
RJ_Dausa,RJ_Tonk
RJ_Dholpur,RJ_Karauli
RJ_Dholpur,UP_Agra
RJ_Dungarpur,RJ_Pratapgarh
RJ_Dungarpur,RJ_Udaipur
RJ_Ganganagar,RJ_Hanumangarh
RJ_Jaipur,RJ_Nagaur
RJ_Jaipur,RJ_Sikar
RJ_Jaipur,RJ_Tonk
RJ_Jaisalmer,RJ_Jodhpur
RJ_Jalore,RJ_Pali
RJ_Jalore,RJ_Sirohi
RJ_Jhalawar,RJ_Kota
RJ_Jhunjhunu,RJ_Sikar
RJ_Jodhpur,RJ_Nagaur
RJ_Jodhpur,RJ_Pali
RJ_Karauli,RJ_Sawai Madhopur
RJ_Kota,RJ_Sawai Madhopur
RJ_Nagaur,RJ_Pali
